title,location,posted_date,salary_annual,skill
Power BI Developer,United States,2023-07-22 04:26:40,119600.0,Power BI
Microsoft Power BI Developer,"Chicago, IL",2023-07-22 04:26:40,,Python
Microsoft Power BI Developer,"Chicago, IL",2023-07-22 04:26:40,,Power BI
Microsoft Power BI Developer,"Chicago, IL",2023-07-22 04:26:40,,Excel
Microsoft Power BI Developer,"Chicago, IL",2023-07-22 04:26:40,,Communication
Microsoft Power BI Developer,"Chicago, IL",2023-07-22 04:26:40,,R
Remote : Senior Business Analyst : Healthcare Billing Exp,"Virginia, United States",2023-07-22 04:26:40,,Communication
EDI Business Analyst,"Dallas, TX",2023-07-22 04:26:40,,SQL
EDI Business Analyst,"Dallas, TX",2023-07-22 04:26:40,,Communication
Data Analytics Manager,"New York, NY",2023-07-22 04:26:40,150000.0,Excel
Lead Data Scientist,United States,2023-07-22 04:26:40,221000.0,Python
Business Analyst,"Austin, TX",2023-07-22 04:26:40,,SQL
Business Analyst,"Austin, TX",2023-07-22 04:26:40,,Communication
Advisor Business Analyst,"Gainesville, MS",2023-07-22 04:26:40,93650.0,Excel
Marketing Analytics Manager,Nashville Metropolitan Area,2023-07-22 04:26:40,95000.0,Tableau
Marketing Analytics Manager,Nashville Metropolitan Area,2023-07-22 04:26:40,95000.0,Statistics
Marketing Analytics Manager,Nashville Metropolitan Area,2023-07-22 04:26:40,95000.0,Communication
Power BI Developer,"Phoenix, AZ",2023-07-22 04:26:40,,SQL
Power BI Developer,"Phoenix, AZ",2023-07-22 04:26:40,,Power BI
Power BI Developer,"Phoenix, AZ",2023-07-22 04:26:40,,Azure
Business Analyst,United States,2023-07-22 04:26:40,,SQL
Business Analyst,United States,2023-07-22 04:26:40,,Tableau
Data Analytics Manager - Strategic Sourcing,"Manhattan, NY",2023-07-22 04:26:40,140000.0,Excel
Data Engineer,United States,2023-07-22 04:26:40,131040.0,SQL
Data Engineer,United States,2023-07-22 04:26:40,131040.0,ETL
Data Analyst,"Suffern, NY",2023-07-22 04:26:40,,Python
Data Analyst,"Suffern, NY",2023-07-22 04:26:40,,SQL
Data Analyst,"Suffern, NY",2023-07-22 04:26:40,,Excel
Data Analyst,"Suffern, NY",2023-07-22 04:26:40,,Communication
Data Analyst,"Suffern, NY",2023-07-22 04:26:40,,R
Senior Data Engineer,"Wilmington, DE",2023-07-22 04:26:40,,Python
Senior Data Engineer,"Wilmington, DE",2023-07-22 04:26:40,,ETL
Business Analyst - Principal,"Lakeland, FL",2023-07-22 04:26:40,,SQL
Business Analyst - Principal,"Lakeland, FL",2023-07-22 04:26:40,,Excel
Business Analyst/ Tableau Developer,"Malvern, PA",2023-07-22 04:26:40,,Python
Business Analyst/ Tableau Developer,"Malvern, PA",2023-07-22 04:26:40,,SQL
Business Analyst/ Tableau Developer,"Malvern, PA",2023-07-22 04:26:40,,Tableau
Business Analyst/ Tableau Developer,"Malvern, PA",2023-07-22 04:26:40,,Communication
Data Analyst,"Pittsburgh, PA",2023-07-22 04:26:40,145600.0,SQL
Data Analyst,"Minneapolis, MN",2023-07-22 04:26:40,,SQL
Data Analyst,"Minneapolis, MN",2023-07-22 04:26:40,,Communication
Power BI Data Analyst – (Remote),"Maryland, United States",2023-07-22 04:26:40,,SQL
Power BI Data Analyst – (Remote),"Maryland, United States",2023-07-22 04:26:40,,Power BI
Power BI Data Analyst – (Remote),"Maryland, United States",2023-07-22 04:26:40,,Excel
Senior Business Analyst,"Columbia, SC",2023-07-22 04:26:40,,Excel
Senior Business Analyst,"Columbia, SC",2023-07-22 04:26:40,,Communication
Salesforce Business Analyst,Greater St. Louis,2023-07-22 04:26:40,,Communication
Senior Data Engineer,United States,2023-07-22 04:26:40,,SQL
Senior Data Engineer,United States,2023-07-22 04:26:40,,Communication
Senior Data Engineer,United States,2023-07-22 04:26:40,,Azure
AWS Data Engineer,"Hartford County, CT",2023-07-22 04:26:40,,Python
AWS Data Engineer,"Hartford County, CT",2023-07-22 04:26:40,,SQL
AWS Data Engineer,"Hartford County, CT",2023-07-22 04:26:40,,ETL
AWS Data Engineer,"Hartford County, CT",2023-07-22 04:26:40,,AWS
Senior Business Analyst,Oklahoma City Metropolitan Area,2023-07-22 04:26:40,107120.0,Communication
Marketing Analytics Coordinator,"Nashville, TN",2023-07-22 04:26:40,66500.0,Statistics
Data Scientist,"Fort Bragg, North Carolina, United States",2023-07-22 04:26:40,,Python
Data Scientist,"Fort Bragg, North Carolina, United States",2023-07-22 04:26:40,,Tableau
Data Scientist,"Fort Bragg, North Carolina, United States",2023-07-22 04:26:40,,R
Business Analyst,"Pontiac, MI",2023-07-22 04:26:40,,Azure
